ID,Type,Task Name,Category,Priority,Draft Scenario,Description,Dependencies,Effort (hrs),Assignee,Status,Notes
NPC-01,NPC,Eleanor Vance — Claims Manager,NPC (person; full dialogue tree),High,Partial,"Full Ink dialogue tree for Eleanor Vance. File npc_eleanor_vance.ink draft exists. Validate compilation; verify all #set_global and #complete_task tags. Core dialogue phases: Welcome Briefing → Policy Review → Warranty Assessment → Coverage Decision → Debrief. Dialogue branches for each warranty (W-03, W-07, W-09, W-12) must reference specific claims from information pack (INS-001 through INS-009).",,8,,,Extended dialogue branches tie to specific insurance claims from information pack
NPC-02,NPC,James Whitworth — Albion Facility Manager,NPC (phone; optional dialogue tree),Medium,No,"Phone NPC dialogue for James Whitworth. Reachable via Meridian office phone. File npc_james_whitworth.ink. Dialogue covers: IT/OT remediation plan delays, SIS patch deferral and cost justification, compensating controls decision, shared infrastructure risk assessment omission, attack discovery via thermometer discrepancy (Case 2 callback). Sets `james_whitworth_contacted=true`. Humanizes the warranty breaches.",,4,,,Callback to Case 2 healthcare scenario; optional but adds depth
MG-01,Minigame,Claims Management System Terminal,Database simulation interface,High,Yes,"Interactive terminal showing Albion's claim notification, policy history, quarterly security posture reports (Q1–Q4), warranty status flags. CMS tabs: Claim Record / Policy Info / Quarterly Reports / Warranty Status. Player scrolls through reports; Q4 report shows IT/OT segmentation remediation outstanding. Can print excerpts to physical printer prop. Sets cms_reviewed=true on interaction.",,6,,,Informational display; content sourced from information pack scenario narratives
MG-02,Minigame,Forensic Data Platform,Forensic evidence viewer interface,High,Yes,"Interactive terminal showing attack timeline, jump server access log (c.ellison dormant contractor), historian falsification data, SIS engineering log (sparse; evidence gaps noted), domain controller implant chain, CastleTech SOC coverage report (OT excluded). FDP tabs: Attack Timeline / Jump Server Log / Historian Data / SIS Engineering Log / Domain Implant / SOC Coverage. If Case 2 played in same session, FDP reflects Case 2 decisions and outcomes. Sets fdp_reviewed=true.",,8,,,Attack chain and evidence sourced from information pack; cross-case continuity if Case 2 preceded this scenario
MG-03,Minigame,NCSC Attribution Brief,Sealed document modal,High,Simplified,"Sealed envelope prop ('TLP:AMBER — PRIVILEGED AND CONFIDENTIAL') sits on table from start. Cannot be opened until warranty checklist complete. When opened: shows attribution summary (GREYMANTLE, Sysrv-k, 70–80% confidence), legal assessment (does NOT meet English law 'act of war' threshold), implication (coverage must be maintained despite state sponsorship). Directly addresses CLAIM-INS-008. Sets ncsc_brief_reviewed=true.",,4,,,Legal vs. intelligence attribution standard; central to act-of-war exclusion decision
MG-04,Minigame,Warranty Compliance Checklist,Interactive form / worksheet,High,Yes,"Physical paper form with four warranty rows (W-03, W-07, W-09, W-12). Each row: warranty description + three tick-boxes (Compliant / Breached / Arguable) + evidence notes field. Player fills in each row based on evidence from CMS, FDP, policy binder. On submission to Eleanor: warranty_checklist_complete=true; RFID access to Evidence Archive unlocked. Each breach is flagged in Eleanor's debrief. Teaching: explicit compliance determination with nuance (Arguable option for W-03 safety constraint).",,4,,,W-03 (Arguable) models security-safety patching dilemma; W-07, W-09, W-12 are clear breaches
MG-05,Minigame,Coverage Decision Form,Final decision form,High,Yes,"Physical paper form (2–3 pages) with three sections: (A) Coverage Position (A1 Full / A2 Proportional / A3 Deny); (B) Act of War Exclusion (Invoke / Accept Risk + justification); (C) Regulatory Disclosure (FCA / PRA / NCSC). Player completes form based on warranty assessment and NCSC brief. Submission triggers Eleanor's outcome dialogue (different narrative for each coverage position). Sets coverage_position=[A1|A2|A3] and act_of_war_decision=[invoke|accept].",,4,,,Three outcomes: Full (£8.2M), Proportional (£6.1–6.5M), Deny (litigation risk)
MG-06,Minigame,Evidence Archive Investigation,Location / exploration,Medium,Simplified,"RFID-locked adjacent room (access granted after warranty checklist completion). Contains: Underwriting File Cabinet (RFID code embedded in CMS notes) with original underwriting assessment, warranty schedule, renewal memo; Physical network architecture diagram (pinboard prop, annotated in red showing dual-homed historian and bidirectional jump server, deadline missed); Sealed evidence packets (A: IT forensics, B: OT forensics, C: warranty compliance evidence). Unlocks dialogue with Eleanor about CLAIM-INS-009 (insurer knowledge and deficiency reporting).",,4,,,Archive investigation reveals Meridian's pre-incident knowledge of deficiencies; central to CLAIM-INS-009 discussion
MG-07,Minigame,Eleanor Vance Dialogue — Claims Assessment,NPC dialogue / branching narrative,High,Partial,"Narrative branching dialogue with Eleanor covering warranty assessments, act-of-war exclusion decision, coverage determination outcomes. Dialogue references specific INS claims (INS-001–INS-009) for each warranty and decision point. Phases: Welcome → Policy Review → Warranty Discussion (W-03, W-07, W-09, W-12) → Attribution Brief → Coverage Decision → Debrief. Debrief varies based on player's coverage position choice (A1/A2/A3). Extended branches currently placeholder; requires full scripting.",,8,,,Direct integration of all nine insurance claims from information pack
OBJ-01,Object,Policy Binder,Interactive document prop,High,Yes,"Printed 40-page A4 document bound with tab dividers (Insuring Clause / Warranty Schedule / Exclusions / Cooperation Clause / Definitions). Key passages pre-highlighted yellow on master copy; clean copies for player. Warranty schedule shows remediation deadlines; W-07 deadline visibly past (Dec 31, 2024). On conference table from scenario start. Interaction sets policy_binder_reviewed=true. Teaching: tangible policy language; Act of War exclusion's intentional vagueness central to legal ambiguity.",,0,,,"Print/design cost separate; content sourced from fictional Meridian Cyber policy; leverage insurance policy templates as reference"
OBJ-02,Object,Warranty Compliance Checklist,Interactive form prop,High,Yes,"Printed A4 worksheet with four warranty rows (W-03, W-07, W-09, W-12) pre-printed; tick-boxes for Compliant/Breached/Arguable; evidence notes column blank for player writing. On conference table from start. Submission to Eleanor Vance completes objective 2 and unlocks Evidence Archive access. Sets warranty_checklist_complete=true. Teaching: forces explicit compliance determination with nuance.",,0,,,"Print cost separate; mechanics handle checkbox state tracking; player physically fills in form"
