ID,Type,Task Name,Category,Priority,Draft Scenario,Description,Dependencies,Effort (hrs),Assignee,Status,Notes
NPC-01,NPC,Priya Chandra — SCADA Engineer,NPC (person; full dialogue tree),High,Yes,"Full Ink dialogue tree for Priya Chandra. File npc_priya_chandra.ink draft exists. Validate compilation; verify all #set_global and #complete_task tags against scenario.json.erb; verify timedConversation arrival_briefing knot fires on room entry. State branches implemented: INITIAL / WALKDOWN_READY / ANOMALY_CONFIRMED / POST_ESD / DEBRIEF_READY. #set_global:priya_briefed:true and #set_global:en002_claim_assessed:true verified.",,4,,,Ink draft file exists; validate compilation and cross-reference all tags against scenario.json.erb
NPC-02,NPC,Marcus Webb — OT Security Manager,NPC (phone; full dialogue tree),High,Yes,"Full Ink dialogue tree for Marcus Webb (phone NPC; accessed via site_phone). File npc_marcus_webb.ink draft exists. Validate compilation; verify #set_global:marcus_webb_contacted:true fires in initial_assessment knot; verify #set_global:en001_claim_assessed:true fires in claim_en001 knot. Confirm ESD PIN delivery via sendTimedMessage eventMapping when marcus_webb_contacted=true. NIS obligation branch and network isolation trade-off dialogue complete.",,3,,,Phone NPC; ESD PIN delivered via scenario.json.erb eventMapping sendTimedMessage after marcus_webb_contacted=true
NPC-03,NPC,Tom Hadley — CastleTech SOC Analyst,NPC (phone; full dialogue tree),Medium,Yes,"Full Ink dialogue tree for Tom Hadley (phone NPC; accessed via site_phone). File npc_tom_hadley.ink draft exists. Validate compilation; verify #set_global:castletech_contacted:true fires; verify trent_water path fires #complete_task:call_trent_water and #set_global:trent_water_notified:true. OT scope clarification branch fully implemented. castletech_contacted to network_isolated eventMapping chain verified.",,2,,,Phone NPC; castletech_contacted triggers network_isolated via scenario.json.erb eventMapping
NPC-04,NPC,Dr Nalini Bashir — NCSC/HSE Inspector,NPC (person; debrief; initially hidden),High,Yes,"Full Ink dialogue tree for Dr Nalini Bashir (debrief NPC; initiallyHidden until facility_safe_state=true). File npc_dr_bashir.ink draft exists. Validate compilation; verify all 5 debrief topic knots (root_cause / sis_independence / patch_dilemma / nis_review / trent_water_review); verify patch_decision set correctly for both active_management and deferral branches; verify closing_summary gated on topic_root_cause_done AND topic_sis_independence_done AND topic_patch_done; verify #complete_task:talk_to_dr_bashir and #set_global:debrief_complete:true fire.",,3,,,initiallyHidden NPC; revealed via dr_bashir_visible=true eventMapping when facility_safe_state=true
OBJ-01,Object,ESD Pushbutton — Custom Object Type,Object (custom type; state machine),High,No,"Implement esd_button custom object type. Three animation frames: armed (guard down) / guard_open (guard raised) / activated (green LED). Physical: GPIO relay fires on esd_activated=true. Digital: object interaction opens MG-01 Phaser minigame. State machine: ARMED to GUARD_OPEN to ACTIVATED (one-way; no reset in scenario lifetime). See new_objects_planning.md section 2.1.",,12,,,"Custom object type; physical GPIO relay wiring required; digital fallback opens MG-01 Phaser screen"
OBJ-02,Object,Plant Room Badge — Conditional Reveal,Object (conditional visibility; keycard),Medium,No,"Implement ENG-03 item conditional visibility for plant room badge keycard. Badge hidden at scenario start; reveals with animation when priya_briefed=true. Prototype workaround in place: badge visible from start. Full implementation requires visibleWhen schema extension (ENG-03). Badge used as RFID keycard to unlock battery_hall_1 door.",ENG-03,3,,,"Prototype workaround in place in scenario.json.erb; ENG-03 schema extension required for correct implementation"
MG-01,Minigame,ESD Pushbutton Interaction Screen,Phaser.js minigame,High,No,"Custom Phaser.js ESD interaction screen for digital mode. Two-step confirmation: (1) flip guard animation; (2) press button with confirmation modal. Access gated on marcus_webb_contacted=true — shows advisory if not contacted. Sets esd_activated=true on confirm. Physical mode: OBJ-01 GPIO relay replaces this screen entirely. See minigame_planning.md MG-01.",OBJ-01,20,,,"Highest physical-digital integration complexity; GPIO relay in physical mode; Phaser screen in digital"
MG-02,Minigame,SIS Configuration Threshold Display,HTML/CSS minigame,Medium,No,"Interactive HTML/CSS SIS configuration panel. Tabular display of SIS setpoints: certified value vs current (tampered) value side-by-side. Amber highlight on deviated rows. CONFIRM TAMPER action sets sis_tamper_confirmed=true. Accessible as tab within VM-02 engineering workstation or as standalone panel object in engineering workshop. Integration with OBJ-06 SIS Certification Document allows player to cross-reference certified baselines. See minigame_planning.md MG-03.",VM-02,14,,,"SIS setpoint tampering discovery moment; enhanced to support comparison with SIS Certification Document (OBJ-06)"
MG-03,Minigame,Facility Alarm Panel State Machine,Engine-driven display (SVG + GPIO),High,No,"State-reactive alarm panel. Maps 8 global variables to lamp states (green / amber / red / flashing). Physical: GPIO relay board drives custom LED panel. Digital: WebSocket events update SVG lamp rendering on smartscreen object. Lamp mapping: SCADA_COMM / SIS_STATUS / RACK_A1..A4_TEMP / NETWORK / H2_LEVEL. Lamp-to-variable mapping configurable per scenario. See minigame_planning.md MG-05.",ENG-01,16,,,"Physical LED panel and digital SVG version both required; driven by ENG-01 alarm panel driver"
MG-04,Minigame,Hydrogen Gas Alarm Progression,Timed state escalation,Medium,No,"Timed H₂ alarm escalation sequence. Timer starts on anomaly_detected=true. T+22m: H₂ advisory update to alarm panel + Priya radio message + hydrogen_alarm=true. T+40m (if esd_activated still false): evacuation tone + red beacon + facility_evacuated=true. Timer cancelled immediately on esd_activated=true. See minigame_planning.md MG-06.",ENG-02,8,,,"Physical: evacuation tone via audio relay; increases urgency of ESD decision over time"
