ID,Type,Task Name,Category,Priority,Draft Scenario,Description,Dependencies,Effort (hrs),Assignee,Status,Notes
MG-01,Minigame,SIEM Alert Dashboard,HTML/CSS minigame,High,Yes,"Scrollable alert log with dismiss/escalate actions per row. Seeded mix of IoC entries and migration noise. Timer drives urgency. Correct escalations set siem_escalated=true; missed crits set siem_missed_alerts=true. Flood mode triggered by ransomware_deployed event.",,12,,,
MG-02,Minigame,Patient Monitoring Central Station,Phaser.js minigame,High,Simplified,"Ward tile grid (6 beds). Vital sign tiles with scrolling waveforms and alarm states. ward_monitor_status drives online/stale/offline transitions. Offline state shows ransomware splash. Draft: offline-only state; live waveforms are post-draft.","OBJ-03, OBJ-04",20,,,Live animated waveforms per tile are post-draft enhancement
MG-03,Minigame,Infusion Pump Fleet Console,HTML/CSS minigame,Medium,No,"Paginated fleet grid showing pump connectivity, drug, and rate. Drug Library tab for inspecting dose limits. fleet_console_status drives online/offline state. drug_library_viewed global var set on tab open.",,12,,,Not required for draft scenario
MG-04,Minigame,Network Segmentation Map,HTML/CSS + SVG minigame,High,Yes,"Network architecture diagram directly from information pack (`case_1_healthcare/information_pack/system_architecture/network_architecture.md`). Three-zone diagram (external/enterprise/clinical/legacy) with labelled devices and connections. Consequence panel updates on toggle. Attack path highlighted in red when rules toggled. SEVER button activates after first interaction and writes network_isolated=true. Draft includes diagram rendering and attack path annotation; per-rule toggles are enhancement.",,18,,,Architecture visualization is critical for SIS learning; attack path highlighting adds immersion
MG-05,Minigame,Ransomware Impact Display,HTML/CSS minigame,High,Yes,"Full-screen ransom note overlay. Countdown timer (72 hrs). Three response action buttons writing contact_attackers / ncsc_reported / recovery_started global vars. Activates on ransomware_deployed=true. Applied as overlay lockType on existing workstation objects.",,6,,,Low implementation cost; static overlay on existing workstation
MG-06,VM Challenge,VPN & Geo-Anomaly Log Viewer,vm (Linux terminal),High,Yes,"Structured VPN auth log (~50 entries). One anomalous entry: username m.blake, Romanian IP, MFA=NO, off-hours ACCEPT at line ~31. Players use grep/awk to identify it. check_anomaly.sh accepts IP arg and emits flag. contractor_accounts.txt lists MFA-exempt accounts.",,4,,,VM content only; uses existing terminal infrastructure
MG-07,Minigame,Backup Recovery Console,HTML/CSS minigame,Medium,Yes,"Three recovery source tiles (NAS encrypted / tape wiped / cloud vendor). Selection expands consequence panel. Confirm button writes backup_recovery_source var and recovery_eta_hours=18 for cloud selection. Drives MG-12 timeline entry.","MG-12",8,,,
MG-08,Minigame,Bedside Infusion Pump Terminal,Phaser.js minigame,High,Yes,"Pixel-art pump device with numeric keypad and paper prescription panel. Decimal-point ambiguity in prescription value. Double-check confirmation modal on CONFIRM. Correct entry sets pump_dose_correct; confirmed wrong entry sets pump_dose_error. Requires paper_charts_collected=true to unlock.","OBJ-04, OBJ-07",20,,,Highest-priority player-safety moment in scenario
MG-09,VM Challenge,Drug Library Integrity Checker,vm (Linux terminal),High,Yes,"drug_library.csv with one tampered entry (morphine DOSE_MAX 4→40). drug_library.sha256 reference manifest. Backup at drug_library.bak. sha256sum detects file-level change; diff identifies the field. verify_library.sh accepts drug/value and sets drug_library_verified=true.",,4,,,VM content only; central integrity-attack discovery moment
MG-10,VM Challenge,Firmware Verification Console,vm (Linux terminal),Low,No,"Firmware images dir for five pump models. manufacturer_hashes.sha256 with one FAILED. pump_register.txt maps serial to ward/bed. flag_pump.sh accepts serial and sets compromised_pump_identified=true.",,4,,,Post-draft; David Osei dialogue covers concept in draft
